pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
220.0,-90.2,0.0,bottom,C11,,,CP_Elec_8x10,220uF_50V,smt
220.1,-79.2,0.0,bottom,C12,,,CP_Elec_8x10,100uF_50V,smt
220.1,-67.2,0.0,bottom,C13,,,CP_Elec_8x10,220uF_50V,smt
205.6425,-114.0,0.0,bottom,C14,,,CP_Elec_8x10,100uF_50V,smt
205.6425,-67.3,0.0,bottom,C15,,,CP_Elec_8x10,220uF_50V,smt
205.5,-90.2,0.0,bottom,C16,,,CP_Elec_8x10,100uF_50V,smt
219.9,-113.9,0.0,bottom,C7,,,CP_Elec_8x10,220uF_50V,smt
220.0,-102.1,0.0,bottom,C8,,,CP_Elec_8x10,100uF_50V,smt
173.6,-82.0,180.0,top,D4,,,D_SMA,SS14,smt
185.7,-82.0,180.0,top,D5,,,D_SMA,SS14,smt
197.7,-82.0,180.0,top,D6,,,D_SMA,SS14,smt
209.9,-81.9,180.0,top,D7,,,D_SMA,SS14,smt
231.4,-95.5,90.0,top,J1,,,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,Conn_01x06_Pin,tht
195.0,-90.1,180.0,bottom,J10,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
193.1,-90.1,180.0,bottom,J11,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
193.1,-92.0,180.0,bottom,J12,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
183.6,-93.9,180.0,bottom,J2,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
185.5,-93.9,180.0,bottom,J3,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
187.4,-93.9,180.0,bottom,J4,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
193.1,-93.9,180.0,bottom,J5,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
195.0,-93.9,180.0,bottom,J6,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
185.5,-92.0,180.0,bottom,J7,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
183.6,-90.1,180.0,bottom,J8,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
183.6,-92.0,180.0,bottom,J9,,,PinHeader_1x01_P1.00mm_Vertical_edit,~,tht
161.2,-84.0675,-90.0,top,K1,,,Relay_SPDT_Finder_36.11,Relay_SPDT,tht
190.1,-67.3,90.0,bottom,L4,,,L_Neosid_SM-NE127_HandSoldering,33UH,smt
172.5,-67.2,90.0,bottom,L5,,,L_Neosid_SM-NE127_HandSoldering,33UH,smt
189.8,-113.8,90.0,bottom,L6,,,L_Neosid_SM-NE127_HandSoldering,33UH,smt
172.6,-113.8,90.0,bottom,L7,,,L_Neosid_SM-NE127_HandSoldering,33UH,smt
185.7,-100.53,-90.0,top,R10,,,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,120Ω,tht
198.3,-100.63,-90.0,top,R11,,,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,39Ω,tht
186.24,-50.995,0.0,top,R12,,,Potentiometer_Bourns_3296W_Vertical,10K,tht
181.1,-56.8,-90.0,top,R13,,,R_1206_3216Metric,330ohm,smt
198.28,-51.0,0.0,top,R14,,,Potentiometer_Bourns_3296W_Vertical,10K,tht
193.2,-56.9,-90.0,top,R15,,,R_1206_3216Metric,330ohm,smt
210.34,-50.995,0.0,top,R16,,,Potentiometer_Bourns_3296W_Vertical,10K,tht
205.2,-56.9,-90.0,top,R17,,,R_1206_3216Metric,330ohm,smt
174.14,-50.995,0.0,top,R7,,,Potentiometer_Bourns_3296W_Vertical,10K,tht
169.1,-56.7625,-90.0,top,R8,,,R_1206_3216Metric,330ohm,smt
173.2,-100.53,-90.0,top,R9,,,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,120Ω,tht
171.6,-68.0,90.0,top,VR4,,,DPAK170P1435X465-6N,XL6009,smt
183.69,-68.0,90.0,top,VR5,,,DPAK170P1435X465-6N,XL6009,smt
195.78,-68.0,90.0,top,VR6,,,DPAK170P1435X465-6N,XL6009,smt
207.87,-68.0,90.0,top,VR7,,,DPAK170P1435X465-6N,XL6009,smt
